video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"JfbxcD6biOk","Gully Boy | Official Trailer | Ranveer Singh | Alia Bhatt | Zoya Akhtar |14th February","2019-01-09T09:07:45.000Z","UCn9BuiRZGR_tPM2GGT4jN-w","Excel Movies","1","19.10.01","Gully Boy,14th Feb,Ranveer Singh,Alia Bhatt,Rap,Apna Time Ayega,Bollywood Film,Bollywood Movie,Ek ladki ko dekha toh aisa laga,Deepika Padukone,Simmba,KGF,Kalki,Valentines Day,Underground rappers,Divine,Naezy,Excel Entertainment,Farhan Akhtar,Zoya Akhtar,Manikarnika,URI","21990495","685200","23272","41306","https://i.ytimg.com/vi/JfbxcD6biOk/default.jpg","False","False","His words will set him free! Here's presenting the trailer of Gully Boy starring Ranveer Singh and Alia Bhatt. Releases in cinemas 14th Feb.Presented by: Ritesh Sidhwani, Zoya Akhtar and Farhan Akhtar Directed by: Zoya Akhtar Cast: Ranveer Singh & Alia Bhatt Distributed by: AA Films Music label: Zee Music Company Excel Entertainment & Tiger Baby Present an Excel Entertainment Production.  Apna Time Ayega credits: Composer: Dub Sharma & Divine Singer: Ranveer Singh Lyrics: Divine & Ankur Tewari Produced by: Dub Sharma Programming: Dub Sharma Backing vocals: Divine Studio: Purple Haze Mixing Engineer: Dub Sharma Music Supervisor: Ankur Tewari Azadi: Composer: Dub Sharma & Divine Singer: Divine & Dub Sharma Lyrics: Divine & Dub Sharma Produced by: Dub Sharma Programming: Dub Sharma Backing vocals: Ankur Tewari Mixing Engineer: Dub Sharma Music Supervisor: Ankur Tewari Follow Us On :- Click to Subscribe :: http://bit.ly/ExcelMoviesYTFacebook :: https://www.facebook.com/excelentertainment/Instagram :: https://www.instagram.com/excelmovies/Twitter :: https://twitter.com/excelmovies"
"qkI5VdASF0I","Undekha Tadka | Episode 1 | The Kapil Sharma Show Season 2 | SonyLIV | HD","2019-01-07T05:30:17.000Z","UCOQNJjhXwvAScuELTT_i7cQ","SonyLIV","24","19.10.01","bharti singh,comedy videos,funny videos,kapil is back,kapil sharma,kiku sharda,krishna abhishek,kapil sharma new season,sumona singh,the kapil sharma show,kapil sharma show,set,the kapil sharma show season 2,the kapil sharma show undekha tadka,kapil sharma undekha tadka,rohit shetty,simbaa kapil sharma show,ranveer sigh,sara ali khan,kapil sharma show simba,दी कपिल शर्मा शो,कपिल शर्मा,deepveer,deepveer wedding,kapil sharma comedy,अन्देखा तड़का","13805071","225177","14685","8173","https://i.ytimg.com/vi/qkI5VdASF0I/default.jpg","False","False","Click here to watch the full episode of The Kapil Sharma Show Season 2: https://www.sonyliv.com/details/episodes/5984418370001/Ep.-1---The-Madness-Returns---The-Kapil-Sharma-Show-Season-2---29-December-2018?utm_source=YOUTUBE&utm_medium=slate&utm_campaign=YT_trafficClick here to Subscribe to SonyLIV: http://www.sonyliv.com/signinClick here to watch all Undekha Tadka episodes: ------------------------------------------------------------------------------https://www.youtube.com/playlist?list=PLn5vww_8o5KsecSZxEzko_gkrJT_aIpGSWatch Ranveer Singh get candid about his wedding with Deepika and chat with his curious fans. Rohit Shetty reveals secrets about our favorite newcomer of the year, Sara. Kapil Sharma makes sure you don't witness a moment without laughter. About The Kapil Sharma Show Season 2 : ---------------------------------------------------Kapil Sharma is back with a new 'Salah Center' (Consultancy Business) in a Mohollah with absurd characters. The wealthy milkman Bachcha Yadav (Kiku Sharda) with his wife Titli Yadav (Bharti Singh) and sister-in-law Bhoori (Sumona Singh) is the one who has rented out houses within the Mohollah and is Kapil Sharma's business partner. The neighbors in the Mohollah are also full of quirks and don't shy away from the antics. With celebrities gracing every episode, The Kapil Sharma Show promises fun-filled entertaining weekends.More Useful Links : * Visit us at : http://www.sonyliv.com * Like us on Facebook : http://www.facebook.com/SonyLIV * Follow us on Twitter : http://www.twitter.com/SonyLIVAlso get Sony LIV app on your mobile * Google Play - https://play.google.com/store/apps/details?id=com.msmpl.livsportsphone * ITunes - https://itunes.apple.com/us/app/liv-sports/id879341352?ls=1&mt=8#thekapilsharmashow #undekhatadka"
"4I7QCThmEoI","Dhee Jodi | 9th January 2019   | Full Episode | ETV Telugu","2019-01-09T19:14:29.000Z","UCoY_p16GEbOQPgES1-wXpYg","ETV Dhee","24","19.10.01","etv shows,eenadu television,padutha theeyaga,super2,Dhee10,dhee Jodi,jabardasth,extra jabardsth,cash,genes,swarabhishekam,etv20,manasu mamatha,swathi chinukulu,naperu meenakshi,funny task,intro,bhargav,rishika,govind,husna,piyush,ankitha,Rahul,darshini,sai,malavika,saketh,priyanka,reality show,dance","1173487","11213","1128","922","https://i.ytimg.com/vi/4I7QCThmEoI/default.jpg","False","False","దక్షణ భారతదేశంలోనే అతిపెద్ద డాన్స్ రియాలిటీ షో... 10 సీజన్స్ ముగించుకుని ఇపుడు ఢీ-జోడి (ఢీ-11 సీజన్) గా మిమ్మల్ని అలరించడానికి, ఎంటర్ టైన్ మెంట్ ని టన్నుల టన్నుల కొద్ది మీకు అందిచదానికి సిద్దమైంది. యాంకర్ గా ప్రదీప్, టీమ్ లీడర్స్ గా రష్మి, సుడిగాలి సుధీర్, జడ్జిస్‌ గా హీరోయిన్ ప్రియమణి, శేఖర్ మాష్టర్ లు షోకి వ్యవహరిస్తారు."
"IAIGnS9BPKs","Ek Ladki Ko Dekha Toh Aisa Laga | Title Song | Anil | Sonam | Rajkummar | Juhi | Darshan | Rochak","2019-01-08T07:27:42.000Z","UC_A7K2dXFsTMAciGmnNxy-Q","Saregama Music","10","19.10.01","ek ladki ko dekha to aisa laga,ek ladki ko dekha to aisa laga title song,ek ladki ko dekha toh aisa laga new version,ek ladki ko dekha toh aisa laga,ek ladki ko dekha to aisa laga sonam,ek ladki sonam and raj kumar,raj kumar rao,sonam kapoor,anil kapoor,ek ladki to dekha remix,ek ladka ko dekha toh aisa laga remix,aakhiyan de kol,ek ladki ko dekha rochak kohli","22337049","162396","7609","6206","https://i.ytimg.com/vi/IAIGnS9BPKs/default.jpg","False","False","Presenting the first video song ‘Ek Ladki Ko Dekha’ from the most awaited musical album of 2019. Directed by Shelly Chopra Dhar and Produced by Vidhu Vinod Chopra in association with Fox Star Studios, the movie stars Anil Kapoor, Sonam Kapoor, Rajkummar Rao, Juhi Chawla, Abhishek Duhan, Seema Pahwa, Madhumalti & Brijendra Kala.Welcome to the most Unexpected Romance of the year!  #LetLoveBe Releasing in theatres near you on 1st Feb’2019 Song Title: Ek Ladki Ko Dekha Singer: Darshan Raval, Rochak KohliMusic: Rochak KohliLyrics: Gurpreet SainiProgrammed, Mixed and Mastered by: Aditya DevGuitars by: Mohit DograOriginal song music: R.D. BurmanOriginal song lyrics: Javed Akhtar(Recreated from Ek Ladki Ko Dekha sung by Kumar Sanu, from the film - 1942, a Love Story)Social Media HandlesVidhu Vinod Chopra Films: Facebook: https://www.facebook.com/vinodchoprafilms/Twitter: https://twitter.com/VVCFilms Instagram: https://www.instagram.com/vinodchoprafilms/?hl=enHear it now on:JioSaavn – http://bit.ly/elkdtaljiosaavnGaana – http://bit.ly/elkdtalgaanaHungama – http://bit.ly/elkdtalhungamaAmazon Prime Music –  http://bit.ly/elkdtalamazonprimemusicWynk – http://bit.ly/elkdtalwynkIdea Music –  http://bit.ly/elkdtalideamusicGoogle Play Music - http://bit.ly/elkdtalgoogleplaymusicApple Music - http://bit.ly/elkdtalapplemusicLabel:: Saregama India Ltd.To buy the original and virus free track, visit www.saregama.comFollow us on:YouTube: http://www.youtube.com/saregamamusicFacebook: http://www.facebook.com/SaregamaTwitter: https://twitter.com/saregamaglobal"
"XttQbFKkeHQ","F2 Trailer - Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada | Anil Ravipudi, Dil Raju","2019-01-07T14:01:40.000Z","UCR-uD130PlXKww_J2Q63CMg","Dil Raju","24","19.10.01","F2,F2 Trailer,F2 Telugu Movie,F2 Official Trailer,F2 Telugu Trailer,F2 Venkatesh,F2 Varun Tej,F2 Comedy Scenes,F2 Tamanna,F2 Mehreen,Venkatesh Comedy Scenes,F2 First Look,F2 Fun And Frustration,Fun And Frustration Teaser,f2 theatrical trailer","5493722","125871","3605","5380","https://i.ytimg.com/vi/XttQbFKkeHQ/default.jpg","False","False","Watch F2 Trailer Starring Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada #F2Trailer, #F2, #funandfrustrationDirected by Anil RavipudiProduced by Shirish, LakshmanPresented by Dil RajuCo Producer Harshith ReddyCast: Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada Music by Devi Sri PrasadCinematography: Sameer ReddyEditor: TammirajuBanner: Sri Venkateswara CreationsDigital Media: NaniPRO: Vamsi Kaka----------------------------------------------------------------------Full Telugu Movies - https://goo.gl/buaJpfFollow us on: Twitter: https://twitter.com/SVC_officialFacebook: https://www.facebook.com/DilRajuOfficialYoutube: http://goo.gl/dwcKmr"
"9wBh5l7TEkQ","Mikhael Official Teaser 2 | Nivin Pauly | Haneef Adeni | Unni Mukundan | Manjima Mohan | Anto Joseph","2019-01-09T12:27:45.000Z","UCq6f9bBWaWTHl0FhH167RgA","GOODWILL ENTERTAINMENTS","24","19.10.01","Mikhael Official Teaser,Mikhael,mikhael trailer,mikhayel,nivin pauly,haneef adeni,mikhayel official teaser,mikhael bgm,mikhael trailer malayalam,mikhael malayalam movie teaser,nivin pauly movie,unni mukundan,haneef adeni movies,mikhael malayalam trailer,malayalam movie trailer,malayalam trailer 2019,malayalam movie trailers 2019,latest movie trailers 2019,movie trailers 2019,unni mukundan fight,latest trailers 2019,haneef adeni films,manjima mohan,movie","876936","54315","1631","4206","https://i.ytimg.com/vi/9wBh5l7TEkQ/default.jpg","False","False","Presenting you the Official Teaser Of Malayalam Movie Mikhael ..!!Movie Name : MikhaelWritten & Directed By : Haneef Adeni Produced By : Anto Joseph Banner : Anto Joseph Film Company DOP : Vishnu PanickerMusic : Gopi SundarEditor : Mahesh NarayananProduction Designer : Santhosh RamanLyrics : HarinarayananMakeup : Ronex XavierCostumes : Stephy Zaviour Production Controller : Sanchoo JSound Mixing : Ajith A GeorgeSound Design : Rabeesh B R & Dhanush NayanarChief Associate Director : SajimonAssociate Director : Shyamanthak, Nithin C C VFX : DTMDI : AfterTrailer Cuts : Ajeesh AnandStills : Arjun Thomas Poster Design : Collins LeophilDistribution : Aan Mega Media Cast : Nivin Pauly, Unni Mukundan, Siddique, Sudev Nair,J D Chakravarthy Manjima Mohan, Shanthi Krishna, KPAC Lalitha, Ashokan, Suraj VenjaramoodMUSIC ON : GOODWILL ENTERTAINMENTS DIGITAL PARTNER : AVENIR TECHNOLOGY ► Subscribe to Goodwill Entertainments: https://goo.gl/s92pm7► Like us on Facebook: https://goo.gl/2V6uNV► Circle us on G+: https://goo.gl/ZiBfEQ|| ANTI-PIRACY WARNING ||This content is Copyrighted to GOODWILL ENTERTAINMENTS . Any unauthorized reproduction, redistribution or re-upload is strictly prohibited. Legal action will be taken against those who violate the copyright of the same"
"jmebRKH3NQc","9 Official Trailer| | Prithviraj Sukumaran, Mamta, Wamiqa  | 7 Feb 2019","2019-01-09T05:30:03.000Z","UCn4rEMqKtwBQ6-oEwbd4PcA","Sony Music South","10","19.10.01","Sony Music South,Sony Music,Latest Tamil Songs,Tamil Trailers,Tamil Song Videos,Tamil HD Videos,2018 Tamil Songs,9 Nine malayalam Movie |Prithviraj New Movie|Prithviraj | Nine Malayalam Movie|9 malayalam Movie,Prithviraj Sukumaran,Mamta Mohandas,Prakash Raj,Wamiqa Gabbi,nine malayalam movie,nine malayalam movie songs,nine malayalam trailer","1207154","63875","1540","4449","https://i.ytimg.com/vi/jmebRKH3NQc/default.jpg","False","False","9 (NINE) is an upcoming Malayalam Language Feature Film produced bySony Pictures Releasing International in Association with Prithviraj Productions.#9Movie #9FilmTrailer #PrithvirajSukumaran #SonyPicturesCast: Prithviraj Sukumaran  |   Prakash Raj  |   Mamta Mohandas | Wamiga Gabbi |Alok k Yadhav.Produced By SUPRIYA MENON & SPE FILMS INDIAWritten & Directed | JENUSE MOHAMED DOP | ABINANDHAN RAMANUJAMEditor | SHAMEER MUHAMMEDMusic | SHAAN RAHMANBACKGROUND SCORE |SEKHAR MENONProduction Design | GOKUL DASLyricist |HARINARAYANAN. PREETI NAMBIARSound Design | ARUN RAMA VARMARe-Recording Engineer | KANNAN GANPATPre Mix | MUZIKMINISTRY STUDIOSChief Associate Director | CYLEX ABRAHAMLine Producer | HARRIS DESOMCostume | SAMEERA SANEESHMakeup | SREEJITH GURUVAYURPublicity Design | Old MonksTitle and Digital Poster Designs | BIHAG MAJEEDSound Recording Engineer |SANDEEP SREEDHARANVFX/ DI: ACCEL MEDIAColorist: KS RAJASEKARANMusic Label - Sony Music Entertainment India Pvt. Ltd.© 2019 Sony Music Entertainment India Pvt. Ltd.Subscribe:YouTube: https://www.youtube.com/c/SonyMusicSouthVEVO: https://www.youtube.com/user/SonyMusicSouthVEVOLike us:Facebook: https://www.facebook.com/SonyMusicSouthFollow us:Twitter: https://twitter.com/SonyMusicSouthInstagram: sonymusic_south"
"4IWbq3rPyE8","LIVE शो में मनोज तिवारी और ओवैसी के बीच जोरदार बहस EXCLUSIVE | News Tak","2019-01-09T15:43:04.000Z","UCAUNFgpgVisKPL3yq_-Nj-Q","News Tak","25","19.10.01","hindi news,news video,latest news,“newstak,news”,channel”,“news”,“,newstak”,news tak,news tak channel,newstak channel,news videos,news videos in hindi,news tak newstak,news tak india,news tak live,newstak live,newstak india,newstak exclusive,news tak exclusive,news tak videos,newstak videos,exclusive news tak videos,exclusive newstak videos,news tak today,news tak official,newstak official,newstak aajtak,news tak aaj tak","955683","13746","1733","9124","https://i.ytimg.com/vi/4IWbq3rPyE8/default.jpg","False","False","LIVE शो में मनोज तिवारी और ओवैसी के बीच जोरदार बहस EXCLUSIVE | News Takआरक्षण को लेकर मिनी संसद पर क्या बोले बीजेपी सांसद मनोज तिवारी और AIMIM प्रमुख असदुद्दीन ओवैसी  ।Watch Exclusive Debate With Anchor Anjana Om Kashyap on Reservation.About News Tak (न्यूज़ तक):न्यूज़ तक (news tak) आपको देता है ख़बरों का बिल्कुल नया अंदाज । 40 सेकंड के छोटे गरमा-गरम वीडियो तो हैं ही साथ में न्यूज़ तक (news tak) के यू ट्यूब प्लेटफॉर्म पर आपको मिलेंगे दिलचस्प और EXCLUSIVE इंटरव्यू, वो भी अनकट..यहां आपको मिलेगा न्यूज़तक (news tak) स्पेशल, न्यूज़ तक (news tak) LIVE और भी बहुत कुछ। राजनीति, बॉलीवुड, देश-विदेश हर तरह की ख़बरों से जुड़े मनोरंजक वीडियो के लिए देखिए सिर्फ न्यूज़ तक (news tak)। क्या है वायरल होने वाले वीडियो की सच्चाई? ख़बर में ऐसा क्या था खास जो आप नहीं देख पाए? कोई भी ख़बर वायरल होने से पहले आप तक पहुंचाएगा न्यूज़ तक (news tak) । हर रोज दिलचस्प और गरमा-गरम वीडियो के लिए सब्सक्राइब कीजिए न्यूज़ तक (news tak)। ये है न्यूज़तक (news tak) का Official Channel.News Tak is the most revolutionary and credible news channel on YouTube. News Tak brings news to you in an innovative VOD style that is set to capture and satiate your thirst for NEWS. This is the most credible source of Live videos that bring to you PC done by all political parties. From exclusive interviews to politics, bolly & Viral videos, anything and everything that is happening around the world is on News Tak. We ensure that the truth behind viral videos reaches you.We save you from rumours. This is the most reliable source of news that you can rely on. Subscribe to the official channel of News Tak here.You can follow News Tak on:News Tak Youtube: https://www.youtube.com/newstakNews Tak Facebook: https://www.facebook.com/newstakofficialNews Tak Twitter: https://twitter.com/newstakofficialNews Tak Instagram: https://www.instagram.com/newstakofficial/"
"opl4GudWGGQ","Viswasam Movie Public Review | FDFS Uncut Review | Thala Ajith's Viswasam Hit or Flop?!?","2019-01-10T00:21:15.000Z","UC0C3kipEr72V6BYM_fvabdg","Chennai Waalaa","24","19.10.01","Entertainment,news,viral,trending,Ajith Kumar,Nayanthara,Sathya Jyothi Films,Viswasam,pUBLIC REACTIONS,review,Thala,Movie,FDFS,Siva","1026754","21489","3328","1664","https://i.ytimg.com/vi/opl4GudWGGQ/default.jpg","False","False","Viswasam Review by Public. Subscribe Channel | Chennai Waalaa | https://www.youtube.com/channel/UC0C3kipEr72V6BYM_fvabdgFind us on Facebook | https://www.facebook.com/ChennaiWaalaaOfficial/Find us on Instagram |https://www.instagram.com/chennaiwaalaa/"
"LPOChxZQ5os","Naayagi Episode 274, 09/01/19","2019-01-09T15:00:06.000Z","UC-lJ-F5mlPP6SYPkkq6gjwA","VikatanTV","43","19.10.01","SunTv,VikatanTV,Tamil Serial,Tamil Programme,Tamil TV Programme,Daily Serial,SunTV Serial,naayagi today episode,Naayagi 09/01/19,Naayagi 09/01/2019,Naayagi Episode 274,vikatan,vikatantv,Naayagi latest episode,Naayagi episode today","787060","4570","890","533","https://i.ytimg.com/vi/LPOChxZQ5os/default.jpg","False","False","USee Shop appAndroid   http://bit.ly/2S8QniRApple   https://apple.co/2EzxseeNaayagi Episode 274Subscribe: https://goo.gl/eSvMiG  Vikatan App - http://bit.ly/2QvUBTD Prev Episode: https://bit.ly/2QwEZLC  Best of Naayagi: http://bit.ly/2LzLHlLPromos: https://goo.gl/iptj14 Facebook: https://goo.gl/Ze4PrFNaayagi (Nayagi or Nayaki) is a 2018 Tamil language family soap opera, a serial with daily episode, starring Vidya Pradeep, Papri Ghosh, Ambika, Dhilip Rayan, Vetri Velan, Meera Krishnan and Suresh Krishnamurthi. It is the story of Anandhi, heir apparent to a business empire but separated at birth from her parents who were killed treacherously by their aide Kalivardhan. The show replaced Deivamagal and is produced by Vikatan Televistas Pvt Ltd. This Tamil daily serial airs on SUN TV, every Monday to Saturday at 8:00 pm.Here is today’s episode. Yesterday episode link above."
