video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"JfbxcD6biOk","Gully Boy | Official Trailer | Ranveer Singh | Alia Bhatt | Zoya Akhtar |14th February","2019-01-09T09:07:45.000Z","UCn9BuiRZGR_tPM2GGT4jN-w","Excel Movies","1","19.11.01","Gully Boy,14th Feb,Ranveer Singh,Alia Bhatt,Rap,Apna Time Ayega,Bollywood Film,Bollywood Movie,Ek ladki ko dekha toh aisa laga,Deepika Padukone,Simmba,KGF,Kalki,Valentines Day,Underground rappers,Divine,Naezy,Excel Entertainment,Farhan Akhtar,Zoya Akhtar,Manikarnika,URI","28928549","849354","29895","49514","https://i.ytimg.com/vi/JfbxcD6biOk/default.jpg","False","False","His words will set him free! Here's presenting the trailer of Gully Boy starring Ranveer Singh and Alia Bhatt. Releases in cinemas 14th Feb.Presented by: Ritesh Sidhwani, Zoya Akhtar and Farhan Akhtar Directed by: Zoya Akhtar Cast: Ranveer Singh & Alia Bhatt Distributed by: AA Films Music label: Zee Music Company Excel Entertainment & Tiger Baby Present an Excel Entertainment Production.  Apna Time Ayega credits: Composer: Dub Sharma & Divine Singer: Ranveer Singh Lyrics: Divine & Ankur Tewari Produced by: Dub Sharma Programming: Dub Sharma Backing vocals: Divine Studio: Purple Haze Mixing Engineer: Dub Sharma Music Supervisor: Ankur Tewari Azadi: Composer: Dub Sharma & Divine Singer: Divine & Dub Sharma Lyrics: Divine & Dub Sharma Produced by: Dub Sharma Programming: Dub Sharma Backing vocals: Ankur Tewari Mixing Engineer: Dub Sharma Music Supervisor: Ankur Tewari Follow Us On :- Click to Subscribe :: http://bit.ly/ExcelMoviesYTFacebook :: https://www.facebook.com/excelentertainment/Instagram :: https://www.instagram.com/excelmovies/Twitter :: https://twitter.com/excelmovies"
"W1oWp-4khmY","Petta Review - Rajnikanth, Karthik Subburaj - Tamil Talkies","2019-01-11T00:03:10.000Z","UCkI-SYGC8fxPNcp6FsX4SRQ","Tamil Talkies","24","19.11.01","Tamil Cinema (Film Genre),Review,Tamil movies review,tamil new movies online,tamil movies rating and review,review and rating,tamil new movies review,tamil new movies honest review,tamil talkies,tamil talkies.net,blue sattai,pettai review blue sattai","867336","27957","12343","5906","https://i.ytimg.com/vi/W1oWp-4khmY/default.jpg","False","False","Manna Health Mix Advert - https://www.youtube.com/watch?v=1mPf63S1vmcManna Health Mix in Big Basket - https://www.bigbasket.com/pb/manna/?nc=fapd#!page=2Manna Health Mix in Amazon -https://www.amazon.in/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=MANNADonate to SARANALAYAM CHARITABLE TRUST to plant trees - http://saranalayamcharitabletrust.org/Twitter - http://www.twitter.com/TamilTalkiesFacebook - http://www.facebook.com/TamilTalkiesDotNetWeb - http://www.TheTamilTalkies.net"
"4I7QCThmEoI","Dhee Jodi | 9th January 2019   | Full Episode | ETV Telugu","2019-01-09T19:14:29.000Z","UCoY_p16GEbOQPgES1-wXpYg","ETV Dhee","24","19.11.01","etv shows,eenadu television,padutha theeyaga,super2,Dhee10,dhee Jodi,jabardasth,extra jabardsth,cash,genes,swarabhishekam,etv20,manasu mamatha,swathi chinukulu,naperu meenakshi,funny task,intro,bhargav,rishika,govind,husna,piyush,ankitha,Rahul,darshini,sai,malavika,saketh,priyanka,reality show,dance","2629423","18335","2308","1626","https://i.ytimg.com/vi/4I7QCThmEoI/default.jpg","False","False","దక్షణ భారతదేశంలోనే అతిపెద్ద డాన్స్ రియాలిటీ షో... 10 సీజన్స్ ముగించుకుని ఇపుడు ఢీ-జోడి (ఢీ-11 సీజన్) గా మిమ్మల్ని అలరించడానికి, ఎంటర్ టైన్ మెంట్ ని టన్నుల టన్నుల కొద్ది మీకు అందిచదానికి సిద్దమైంది. యాంకర్ గా ప్రదీప్, టీమ్ లీడర్స్ గా రష్మి, సుడిగాలి సుధీర్, జడ్జిస్‌ గా హీరోయిన్ ప్రియమణి, శేఖర్ మాష్టర్ లు షోకి వ్యవహరిస్తారు."
"YCSYaUABY-8","DESI LOVE STORY - | Elvish Yadav |","2019-01-10T13:26:27.000Z","UCbmu9wfzxKls40WkCzvqtRA","Elvish yadav","23","19.11.01","elvish yadav video,elvish yadav new video,elvish yadav,elvish yadav latest video,elvish yadav funny video,elvish yadav videos,elvish yadav desi,elvish yadav desi video,elvis yadav,elvish yadav vines,elvis yadav vines,fufa badmash hai,pagal si elvish,elvish,pagal si,desi love story elvish yadav","1221063","145092","3970","9368","https://i.ytimg.com/vi/YCSYaUABY-8/default.jpg","False","False","Games Khelo Aur Paise Jeeto!Jeetiye 1 Lakh Rupaye Har Roz - MPL App Download Kariye Abhi Aur Shuru Ho Jaiye Apne Favourite Games Ke Saath - http://www.mpl.liveyou have to wait till the end.  Directed By  - Kulwant , Elvish YadavWritten By - Elvish yadavCo Writer -  kirti mehraEditor - Pavitra Poonia Produced By - Elvish YadavCast - Elvish yadav, Kirti mehra , gaurav aggarwal sameer monga komal Sharma FOLLOW MY SOCIAL MEDIA HANDLESINSTAGRAM-    http://instagram.com/elvish_yadavFACEBOOK. -    http://facebook.com/theindianvinerTWITTER-         http://twitter.com/elvishyadavSNAPCHAT -   @elvishyadav"
"HhmPMZ0IDJ4","Petta review by Prashanth","2019-01-10T06:07:37.000Z","UCZVcQLqXTn1DN-UcDwrc1gQ","tamilcinemareview","1","19.11.01","tamil cinema review,tamil cinema review prashanth,tamil cinema review prashanth latest,itisprashanth review,petta review,rajinikanth,trisha,sasaikumar,petta review by prashanth,review,petta FDFS,Simran,simran petta,petta anirudh","1008373","29454","4343","2882","https://i.ytimg.com/vi/HhmPMZ0IDJ4/default.jpg","False","False","http://www.thandoratimes.com/ - Best Online news portal.http://www.Curryupfood.com -  Best south indian Food ; Location : https://goo.gl/maps/fZQTtmYMvxv~MyCuteMini - Surprise your loved ones with a Cute Handmade 3D Miniature Doll of themselves!http://www.MyCuteMini.comWhatsApp: +91-8610241025~http://www.cksbakery.com - Own a bakery with minimum investment.Review about recently released tamil movie petta which has Rajinikanth, Simran, bobby simha and many others in the lead role. The movie is directed by Karthik Subbaraj"
"GDHucSAbA48","BYN : When You Are Caught Cheating In Exam Feat. Emraan Hashmi","2019-01-10T12:49:15.000Z","UC7sRFTKIbH4NNpFXmpUAWuA","Be YouNick","23","19.11.01","college life,love,relationships,bff,yaar,dosti,pyaar,romance,delhi university,DU life,college love,funny videos,south campus,north campus,College Romance,The hint,bakchodi,friend,friendship,Apoorva Arora,girlfriend,boyfriend,Mumbai university,Exams,cheating,shanmukh jaswanth,the exams,examination hall,funny exams,Exam hall scenes,Exam hall funny,cheating in exam,semseters,BYN,be,you,nick,Nikunj Lotia,BYN latest,Be you nick,Beyounick latest","1189221","146325","1990","4419","https://i.ytimg.com/vi/GDHucSAbA48/default.jpg","False","False","Follow The Team :Nick - https://www.instagram.com/beyounick/Tushar - https://www.instagram.com/tusharkhairbyn/Murali -  https://www.instagram.com/woh_lambe_baal_wala_ladka/Vivek -  https://www.instagram.com/i_am_vivekmenon_byn/Sushant-  https://www.instagram.com/cut_appa_sushant/Anant - https://www.instagram.com/ananttss/Omkar -  https://www.instagram.com/one_moody_foodie/Directed By  - Vivek Menon , NickWritten By -  Nick , Karan KunwarCo Writers - Omkar Shinde, Editor - Sushant ChopdekarColor Graded By - AdolfDOP - Vivek Menon, Sushil AhireOn Set Sound - Murali ThevarProduced By - Nick Production Manager - Anant T , Murali ThevarProduction Assistant - Nikhil Tari Cast - Nick           Tushar Khair           Kumar Varun           Emraan Hashmi"
"nS7gkeZKxYs","Redmi Note 7 Launched - 48MP + SD660 & More - Redmi Gone CRAZY 🔥🔥🔥","2019-01-10T10:30:38.000Z","UCOhHO2ICt0ti9KAh-QHvttQ","Technical Guruji","28","19.11.01","redmi note 7,redmi note 7 pro,xiaomi redmi note 7,redmi note 7 48mp camera,redmi note 7 india,redmi note 7 pro launch date in india,redmi note 7 review,redmi note 7 durability test,redmi note 7 pro full specification,xiaomi redmi note 7 pro unboxing,xiaomi,redmi by xiaomi,redmi,Technicalguruji,Technical guruji,Gaurav Chaudhary,Redmi Note 7 Camera specs,Redmi Note 7 Pro,Redmi Note 7 India Launch,Redmi Note 7 India Price","1076572","86673","2555","10835","https://i.ytimg.com/vi/nS7gkeZKxYs/default.jpg","False","False","Namaskaar Dosto, is video mein maine aapse Redmi Note 7 aur Note 7 Pro ke baare mein baat ki hai, Redmi Note 7 next version hai Xiaomi Redmi Note 6 ka jise Redmi ne yeh aaj launch kiya hai. Redmi Note 7 ek mid range phone hai jisme aapko Snapdragon 660 processor milta hai aur saath mein 48MP + 5MP rear aur 13MP front camera milta hai. Redmi Note 7 mein 4000mAh ki battery hai, QuickCharge 4.0 support ke saath mein aur 6.3 ka FHD+ 19.5:9 aspect ratio wala display hai. Xiaomi Redmi Note 7 ki India mein jaldi hi launch ho sakta hai, China mein iski price hai 10,500INR 3GB+32GB Option ke liye aur 12,500INR 4GB+64GB variant ke liye aur 14,500INR 6GB+64GB ke liye. Mujhe umeed hai ki aapko Redmi Note 7 aur Redmi Note 7 Pro ki yeh video pasand aayegi. Share, Support, Subscribe!!!Subscribe: http://bit.ly/1Wfsvt4Android App: https://technicalguruji.in/appYoutube: http://www.youtube.com/c/TechnicalGuruji Twitter:  http://www.twitter.com/technicalgurujiFacebook: http://www.facebook.com/technicalgurujiFacebook Myself: https://goo.gl/zUfbUUInstagram: http://instagram.com/technicalgurujiGoogle Plus: https://plus.google.com/+TechnicalGurujiWebsite: https://technicalguruji.in/Merchandise: http://shop.technicalguruji.in/About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)"
"qkI5VdASF0I","Undekha Tadka | Episode 1 | The Kapil Sharma Show Season 2 | SonyLIV | HD","2019-01-07T05:30:17.000Z","UCOQNJjhXwvAScuELTT_i7cQ","SonyLIV","24","19.11.01","bharti singh,comedy videos,funny videos,kapil is back,kapil sharma,kiku sharda,krishna abhishek,kapil sharma new season,sumona singh,the kapil sharma show,kapil sharma show,set,the kapil sharma show season 2,the kapil sharma show undekha tadka,kapil sharma undekha tadka,rohit shetty,simbaa kapil sharma show,ranveer sigh,sara ali khan,kapil sharma show simba,दी कपिल शर्मा शो,कपिल शर्मा,deepveer,deepveer wedding,kapil sharma comedy,अन्देखा तड़का","17088722","261027","17600","9125","https://i.ytimg.com/vi/qkI5VdASF0I/default.jpg","False","False","Click here to watch the full episode of The Kapil Sharma Show Season 2: https://www.sonyliv.com/details/episodes/5984418370001/Ep.-1---The-Madness-Returns---The-Kapil-Sharma-Show-Season-2---29-December-2018?utm_source=YOUTUBE&utm_medium=slate&utm_campaign=YT_trafficClick here to Subscribe to SonyLIV:  https://www.youtube.com/user/sonyliv?sub_confirmation=1Click here to watch all Undekha Tadka episodes: ------------------------------------------------------------------------------https://www.youtube.com/playlist?list=PLn5vww_8o5KsecSZxEzko_gkrJT_aIpGSWatch Ranveer Singh get candid about his wedding with Deepika and chat with his curious fans. Rohit Shetty reveals secrets about our favorite newcomer of the year, Sara. Kapil Sharma makes sure you don't witness a moment without laughter. About The Kapil Sharma Show Season 2 : ---------------------------------------------------Kapil Sharma is back with a new 'Salah Center' (Consultancy Business) in a Mohollah with absurd characters. The wealthy milkman Bachcha Yadav (Kiku Sharda) with his wife Titli Yadav (Bharti Singh) and sister-in-law Bhoori (Sumona Singh) is the one who has rented out houses within the Mohollah and is Kapil Sharma's business partner. The neighbors in the Mohollah are also full of quirks and don't shy away from the antics. With celebrities gracing every episode, The Kapil Sharma Show promises fun-filled entertaining weekends.More Useful Links : * Visit us at : http://www.sonyliv.com * Like us on Facebook : http://www.facebook.com/SonyLIV * Follow us on Twitter : http://www.twitter.com/SonyLIVAlso get Sony LIV app on your mobile * Google Play - https://play.google.com/store/apps/details?id=com.msmpl.livsportsphone * ITunes - https://itunes.apple.com/us/app/liv-sports/id879341352?ls=1&mt=8#thekapilsharmashow #undekhatadka"
"4IWbq3rPyE8","LIVE शो में मनोज तिवारी और ओवैसी के बीच जोरदार बहस EXCLUSIVE | News Tak","2019-01-09T15:43:04.000Z","UCAUNFgpgVisKPL3yq_-Nj-Q","News Tak","25","19.11.01","hindi news,news video,latest news,“newstak,news”,channel”,“news”,“,newstak”,news tak,news tak channel,newstak channel,news videos,news videos in hindi,news tak newstak,news tak india,news tak live,newstak live,newstak india,newstak exclusive,news tak exclusive,news tak videos,newstak videos,exclusive news tak videos,exclusive newstak videos,news tak today,news tak official,newstak official,newstak aajtak,news tak aaj tak","1849884","21474","2995","14233","https://i.ytimg.com/vi/4IWbq3rPyE8/default.jpg","False","False","LIVE शो में मनोज तिवारी और ओवैसी के बीच जोरदार बहस EXCLUSIVE | News Takआरक्षण को लेकर मिनी संसद पर क्या बोले बीजेपी सांसद मनोज तिवारी और AIMIM प्रमुख असदुद्दीन ओवैसी  ।Watch Exclusive Debate With Anchor Anjana Om Kashyap on Reservation.About News Tak (न्यूज़ तक):न्यूज़ तक (news tak) आपको देता है ख़बरों का बिल्कुल नया अंदाज । 40 सेकंड के छोटे गरमा-गरम वीडियो तो हैं ही साथ में न्यूज़ तक (news tak) के यू ट्यूब प्लेटफॉर्म पर आपको मिलेंगे दिलचस्प और EXCLUSIVE इंटरव्यू, वो भी अनकट..यहां आपको मिलेगा न्यूज़तक (news tak) स्पेशल, न्यूज़ तक (news tak) LIVE और भी बहुत कुछ। राजनीति, बॉलीवुड, देश-विदेश हर तरह की ख़बरों से जुड़े मनोरंजक वीडियो के लिए देखिए सिर्फ न्यूज़ तक (news tak)। क्या है वायरल होने वाले वीडियो की सच्चाई? ख़बर में ऐसा क्या था खास जो आप नहीं देख पाए? कोई भी ख़बर वायरल होने से पहले आप तक पहुंचाएगा न्यूज़ तक (news tak) । हर रोज दिलचस्प और गरमा-गरम वीडियो के लिए सब्सक्राइब कीजिए न्यूज़ तक (news tak)। ये है न्यूज़तक (news tak) का Official Channel.News Tak is the most revolutionary and credible news channel on YouTube. News Tak brings news to you in an innovative VOD style that is set to capture and satiate your thirst for NEWS. This is the most credible source of Live videos that bring to you PC done by all political parties. From exclusive interviews to politics, bolly & Viral videos, anything and everything that is happening around the world is on News Tak. We ensure that the truth behind viral videos reaches you.We save you from rumours. This is the most reliable source of news that you can rely on. Subscribe to the official channel of News Tak here.You can follow News Tak on:News Tak Youtube: https://www.youtube.com/newstakNews Tak Facebook: https://www.facebook.com/newstakofficialNews Tak Twitter: https://twitter.com/newstakofficialNews Tak Instagram: https://www.instagram.com/newstakofficial/"
"kgnlrK7jKeo","Naayagi Episode 275, 10/01/19","2019-01-10T15:00:05.000Z","UC-lJ-F5mlPP6SYPkkq6gjwA","VikatanTV","43","19.11.01","SunTv,VikatanTV,Tamil Serial,Tamil Programme,Tamil TV Programme,Daily Serial,SunTV Serial,naayagi today episode,Naayagi Episode 275,Naayagi 10/01/2019,Naayagi 10/01/19,vikatan,vikatantv,Naayagi latest episode,Naayagi episode today","855747","4659","871","764","https://i.ytimg.com/vi/kgnlrK7jKeo/default.jpg","False","False","USee Shop appAndroid   http://bit.ly/2S8QniRApple   https://apple.co/2EzxseeNaayagi Episode 275Subscribe: https://goo.gl/eSvMiG  Vikatan App - http://bit.ly/2QvUBTD Prev Episode: https://bit.ly/2FgCkol  Best of Naayagi: http://bit.ly/2LzLHlLPromos: https://goo.gl/iptj14 Facebook: https://goo.gl/Ze4PrFNaayagi (Nayagi or Nayaki) is a 2018 Tamil language family soap opera, a serial with daily episode, starring Vidya Pradeep, Papri Ghosh, Ambika, Dhilip Rayan, Vetri Velan, Meera Krishnan and Suresh Krishnamurthi. It is the story of Anandhi, heir apparent to a business empire but separated at birth from her parents who were killed treacherously by their aide Kalivardhan. The show replaced Deivamagal and is produced by Vikatan Televistas Pvt Ltd. This Tamil daily serial airs on SUN TV, every Monday to Saturday at 8:00 pm.Here is today’s episode. Yesterday episode link above."
